Player,Deck,Rank
HarryHollingworth,Bant Rhythm,79
GiuseppeG,Selesnya Landfall,80
Louis-Samuel Deltour,Izzet Prowess,81
Lucas Hyttel,Mono-Green Landfall,82
Patrickleydecker,Izzet Spellementals,83
Fabian Klein,Dimir Excruciator,84
KeesvanMontfoort,Izzet Prowess,85
Alexander Stehno,Jeskai Control,86
Viktor Hybinette,Golgari Demons,87
Unkillable13,Izzet Prowess,88
alexwalton64,Izzet Spellementals,89
Jari Rentsch,Izzet Prowess,90
Kieran Malloy,Izzet Prowess,91
Alexander Maier,Izzet Lessons,92
EricNewton,Jeskai Control,93
Alex Campbell,Jeskai Control,94
Neil Deacon,Izzet Prowess,95
MangoMango,Jeskai Control,96
EricZhou,Izzet Prowess,97
Masaya_Hoshino,Izzet Prowess,98
Draysor,Selesnya Landfall,99
Nick Rogiers,Dimir Excruciator,100
swxgv,Izzet Prowess,101
Christian Rothen,Jeskai Control,102
Andrei Nikolov,Izzet Prowess,103
Max Staas,Dimir Excruciator,104
Cristian Jimenez,Four-Color Control,105
James Ball,Izzet Prowess,106
Idris Killen,Izzet Lessons,107
Skite,Selesnya Landfall,108
ucoconut871,Izzet Prowess,109
George Stuart,Izzet Spellementals,110
Leonardo Canalejo,Boros Dragons,111
Dotraki,Izzet Prowess,112
Tim Priwe,Izzet Prowess,113
Zaraffyro,Izzet Prowess,114
Josef Zivec,Bant Rhythm,115
Francesco Alacca,Izzet Lessons,116
Mae French,Izzet Lessons,117
Dylan Gregory-Martin,Izzet Spellementals,118
Julian Lamprecht,Selesnya Landfall,119
RobinVahland,Songcrafter Control,120
Pär Jones,Golgari Midrange,121
GliedTamas,Sultai Control,122
Theodor eliassen,Izzet Lessons,123
Ondrej Strasky,Izzet Lessons,124
Orry,Izzet Spellementals,125
Callum Bousfield,Izzet Prowess,126
Calum Gittins,Izzet Prowess,127
George Berrett,Dimir Excruciator,128
Lewis Foster,Selesnya Landfall,129
Lena Marchant,Izzet Lessons,130
Marco Vay,Dimir Excruciator,131
ZakP,Mono-Green Landfall,132
Sören Liesener,Selesnya Ouroboroid,133
milesofford,Sultai Reanimator,134
Narzyss,Azorius Prison,135
Tudor Marin,Selesnya Ouroboroid,136
Elevenzees,Izzet Lessons,137
oldemodave,Dimir Deceit,138
Marco Oliveto,Golgari Rhythm,139
Filip Tetera,Bant Rhythm,140
Craig Tanner,Izzet Prowess,141
Filipe Gusmão,Golgari Demons,142
Olphod,Mardu Discard,143
Nabil,Izzet Prowess,144
Jorge  Muniz,Dimir Excruciator,145
Dominic Ulke,Izzet Prowess,146
M0J0,Dimir Midrange,147
ItMakesSens,Selesnya Landfall,148
Alex Göbel,Dimir Midrange,149
Fabian Jonckeer,Mono-Green Landfall,150
CJ Vice,Esper Oculus,151
Xifan,Izzet Prowess,152
NilHomar,Golgari Midrange,153
Yat Ka Leung,Izzet Prowess,154
Dawid Florczyk,Izzet Lessons,155
Jacob1200,Azorius Otters,156
Pedro Lemos,Selesnya Ouroboroid,157
filpin,Selesnya Ouroboroid,158
Manuel Nowak,Selesnya Rhythm,159
JackTheJester,Four-Color Control,160
Michael Boardman,Mono-Red Aggro,161
Liam Tiller-Collins,Selesnya Ouroboroid,162
Arwad,Dimir Midrange,163
Gonaclo Magalhães Diogo,Izzet Prowess,164
pizzangry,Izzet Prowess,165
Raynor Kuang,Boros Dragons,166
Kamen Kamenov,Four-Color Elementals,167
Ignacio Garcia,Azorius Momo,168
Kristoffer Payumo,Four-Color Elementals,169
jundazhang,Izzet Prowess,170
RoreosaRory,Four-Color Elementals,171
Christian Mayr,Four-Color Elementals,172
Félix Maurin,Orzhov Momo,173
Stefan Kramm,Boros Dragons,174
Russell Seeley,Golgari Midrange,175
Geko,Izzet Aggro,176
Luke Merryweather,Izzet Lessons,177
CraigLong,Dimir Excruciator,178
SimD22,Jeskai Control,179
André Santos,Selesnya Landfall,180
ViolentRich,Izzet Prowess,181
Daniel Lind,Selesnya Landfall,182
Douglas Penman,Selesnya Ouroboroid,183
Roberto Fabiani,Grixis Deceit,184
Paul Farnsworth,Dimir Excruciator,185
DThomps,Izzet Prowess,186
JamesTaylor,Selesnya Landfall,187
Gary Smith,Jeskai Control,188
Vittorio Viti,Four-Color Control,189
Daniel Larsen,Selesnya Landfall,190
Nikita Yurochko,Dimir Midrange,191
David Dunitza,Izzet Spellementals,192
Alex Winter,Boros Mobilize,193
Edgar Baumler,Bant Rhythm,194
Picomtg,Bant Rhythm,195
Pier Paolo Moro,Izzet Prowess,196
Mikkel Vestergaard,Four-Color Control,197
Dan Stokes,Four-Color Control,198
Philipp Schwaiger,Abzan Bats,199
Dominic White,Dimir Deceit,200
Tien Thanh Pham,Azorius Prison,201
Decio Sacco,Selesnya Ouroboroid,202
Gavin Thacker,Boros Dragons,203
Marco Vassallo,Sultai Excruciator,204
Jasper Nielsen,Izzet Spellementals,205
Martin Forrester,Sultai Reanimator,206
Léo Thiémard,Bant Rhythm,207
spikesmaster,Selesnya Ouroboroid,208
Matt MT,Sultai Reanimator,209
Philippe Wirz,Azorius Prison,210
Francisco Sanchez,Izzet Prowess,211
Verduyn,Izzet Prowess,212
Robert Pennington,Simic Omniscience,213
Mihaly Varadi,Azorius Prison,214
Jake Swales,Izzet Lessons,215
seany,Izzet Lessons,216
enraeh,Sultai Excruciator,217
Cartheron,Mono-Black Demons,218
Jan Pruchniewicz,Simic Omniscience,219
HarW7,Four-Color Control,220
Nicolas Prail,Izzet Prowess,221
James Jenkins,Izzet Prowess,222
no_justice_mtg,Four-Color Control,223
iamkrazy1,Izzet Prowess,224
Daniel Bjerkan,Selesnya Landfall,225
Duskfire,Selesnya Landfall,226
Andrew Fiedler,Dimir Excruciator,227
Jacob Borrowdale,Izzet Prowess,228
Nuno Duarte,Dimir Deceit,229
Juri Barkey,Izzet Spellementals,230
Dafta,Mono-Green Landfall,231
RyanNorthcott,Boros Momo,232
Hannes Brandstetter,Selesnya Landfall,233
Thomas Duffy,Selesnya Landfall,234
Coachjennsen23,Boros Dragons,235
Sandiagos,Abzan Lifegain,236
TomR,Izzet Prowess,237
Kun150,Dimir Excruciator,238
Pier Iaquinta,Jeskai Control,239
Tom8520,Bant Rhythm,240
Stefanos Fotiadis,Izzet Prowess,241
AdriaGarciaSarmiento,Azorius Prison,242
JoshuaPyleCarter,Simic Omniscience,243
Daniele Scatassi,Izzet Prowess,244
MatteoLB,Four-Color Control,245
MY13Dragonfly,Bant Rhythm,246
Mikki Klokkedal,Selesnya Landfall,247
Patrick Burchert,Azorius Prison,248
Mirand Shtërbani,Four-Color Control,249
Bradley Bunce,Azorius Prison,250
DanoClark,Four-Color Control,251
Siamon,Selesnya Ouroboroid,252
Alex Hillier,Four-Color Elementals,253
Jonatan Svendsen,Selesnya Landfall,254
AdamPC,Izzet Prowess,255
Salvatore Cardali,Azorius Prison,256
AARB12,Azorius Prison,257
Tolga Sertbas,Mono-Red Aggro,258
Ben Seck,Bant Rhythm,259
Andy Stephens,Selesnya Landfall,260
Edward Cushion,Izzet Lessons,261
Kristoffer Roland,Gruul Leyline,262
gabriele tribulato,Bant Rhythm,263
Gargaroth,Simic Ouroboroid,264
André Compal,Selesnya Landfall,265
Mathew Mitchell,Jeskai Control,266
Klaus_Mikaelson,Four-Color Control,267
Ine Jernelv,Izzet Lessons,268
Jakub Janáč,Izzet Prowess,269
Ashley Baden,Mono-Green Landfall,270
Manuel Danninger,Izzet Lessons,271
Andrew Berry,Izzet Spellementals,272
oDwin,Orzhov Momo,273
HarryPendall,Izzet Lessons,274
Maciej Olczak,Selesnya Landfall,275
Guliver,Selesnya Landfall,276
Niels Wardenier,Azorius Prison,277
Josh Corless,Izzet Spellementals,278
BenR4,Jeskai Control,279
Jacopo Bartollini,Azorius Prison,280
Wojciech Kowalczuk,Selesnya Landfall,281
Lukas Paugsch,Dimir Excruciator,282
AlexRoebuck,Izzet Prowess,283
Christian Smith,Azorius Prison,284
AnilDG,Azorius Prison,285
Thomas Chenery,Izzet Spellementals,286
Kewin Lozicki,Azorius Momo,287
Mehdi Khelfa,Izzet Prowess,288
Shadybadger46,Mono-Blue Control,289
soufian hriz,Izzet Spellementals,290
Jacob Hauch,Azorius Prison,291
Pierre Liebsch,Temur Harmonizer,292
AgentEdward,Izzet Prowess,293
Mclockin,Selesnya Ouroboroid,294
Bryant Yang,Izzet Prowess,295
Justien Balay,Selesnya Ouroboroid,296
Tifenn Samyn,Izzet Spellementals,297
Adam Jansson,Izzet Prowess,298
Cantthinkofanything,Mono-Green Landfall,299
WillKillsTime,Izzet Prowess,300
ADSandslash,Azorius Artifacts,301
nartin9,Izzet Prowess,302
Daniel Lewis,Four-Color Control,303
Emil Rasmussen,Selesnya Landfall,304
Thomas Walder,Mardu Artifacts,305
Kevin Broløs,Izzet Prowess,306
Truls Mathisen,Mono-Blue Spellementals,307
Gwen Wall,Azorius Prison,308
Dylan Coates,Izzet Lessons,309
Branoc Richards,Izzet Prowess,310
Ozan Sevsevil,Jeskai Control,311
EvanColly,Izzet Prowess,312
DomS17,Izzet Prowess,313
Lee Medhurst,Four-Color Elementals,314
Cedric Gäde,Azorius Prison,315
Paul Bittner,Azorius Prison,316
Alberto Santos,Izzet Prowess,317
Brady Crooks,Izzet Lessons,318
Geri925,Selesnya Rhythm,319
Stephanos Economides,Dimir Excruciator,320
Andrea Piemonti,Izzet Lessons,321
Lubos Leskovjansky,Mono-White Momo,322
mundisv,Izzet Prowess,323
Andreas Foreman Jensen,Selesnya Ouroboroid,324
Olivier Geffroy,Izzet Prowess,325
Johnathan Wilkes,Golgari Demons,326
AndrewHM,Azorius Control,327
Carlos Pacheco,Four-Color Control,328
Ghostfire17605,Golgari Midrange,329
Thraxi,Mono-Green Landfall,330
Enrico Libralato,Azorius Prison,331
Magnus Jørgensen,Izzet Prowess,332
Jacob Vogts,Izzet Lessons,333
Freddie  Barber,Gruul Leyline,334
Soulblighter,Selesnya Ouroboroid,335
EdGlease,Izzet Spellementals,336
jjjimbo,Izzet Lessons,337
Badmaths222,Four-Color Elementals,338
Adrien Beaussart,Four-Color Elementals,339
Morgan Lebrument,Izzet Prowess,340
Daniel Johnson,Azorius Prison,341
JoaoM,Izzet Prowess,342
Nick Arnold,Dimir Excruciator,343
Zues,Izzet Prowess,344
ShaC28,Mardu Gambit,345
RyaS,Naya Yuna,346
Robert Young,Golgari Ouroboroid,347
Cal91,Dimir Deceit,348
jamestimms,Azorius Prison,349
Mattia Colombo,Dimir Control,350
Graveturner,Izzet Lessons,351
Krister Karlsen,Bant Rhythm,352
Emilio Morabito,Izzet Prowess,353
Chris Mander,Izzet Prowess,354
drakharrris,Izzet Lessons,355
Harry Burke,Azorius Momo,356
Gianluca Boaretto,Izzet Spellementals,357
karim mzoughi,Grixis Lizards,358
Charlie Kennett,Dimir Excruciator,359
Bolutin,Dimir Midrange,360
Philip White,Izzet Prowess,361
Nostromo,Izzet Prowess,362
Coulsy,Azorius Artifacts,363
Tom Law,Selesnya Landfall,364
Jammyf99,Sultai Reanimator,365
NicolasM,Four-Color Control,366
Jack Buckland,Selesnya Landfall,367
Horia Vernescu,Selesnya Ouroboroid,368
Pedro Magalhães,Boros Dragons,369
krystianM,Izzet Lessons,370
Harry_Ersky,Izzet Lessons,371
Teemu Alanko,Mono-White Momo,372
Jamie Popay,Golgari Midrange,373
Robert Bailey,Izzet Prowess,374
Nicholas Brown,Selesnya Landfall,375
Rakhi09,Izzet Prowess,376
Gonçalo Paneiro,Izzet Prowess,377
Conrad Scherb,Jeskai Control,378
Francesco Ghelli,Selesnya Ouroboroid,379
Juan Manuel Lorenzi,Selesnya Landfall,380
Luis Gobern,Bant Rhythm,381
djsuk,Orzhov Lifegain,382
Cosmin Achim,Mardu Demons,383
Tadhg Murphy,Izzet Prowess,384
Miguel Magalhaes,Selesnya Ouroboroid,385
Elia Libralato,Bant Rhythm,386
Pawel Makles,Azorius Prison,387
Zak Cowen,Izzet Prowess,388
Andrew Stevenson,Jeskai Control,389
shaneoc,Izzet Prowess,390
Inherentmac,Grixis Discard,391
Victor Manuel Graveto,Azorius Prison,392
Stefan Schütz,Bant Rhythm,393
WompRat,Boros Mobilize,394
Sebastian Sachse,Temur Harmonizer,395
Noz777,Izzet Spellementals,396
Kjetil Wevling,Izzet Spellementals,397
pileshuffle,Four-Color Elementals,398
StephenSodusta,Temur Ferocious,399
Sandro1811,Dimir Bounce,400
ClementLumeau,Izzet Prowess,401
GiorgioCanezin,Azorius Prison,402
christian gullberg,Izzet Spellementals,403
williametchells,Naya Legends,404
darkblueturbo,Izzet Spellementals,405
Jonny Gu,Izzet Spellementals,406
LinkangYang,Izzet Lessons,407
Christian Richard,Temur Harmonizer,408
Max Spencer,Golgari Changelings,409
Julian Riedener,Bant Rhythm,410
Mangara,Azorius Prison,411
Fabien Li,Boros Mobilize,412
Dorian Wiese,Golgari Midrange,413
ALANBBBK,Sultai Changeling,414
Nomae,Selesnya Ouroboroid,415
Emelia St John,Izzet Spellementals,416
Nate314,Mono-White Momo,417
Andrew Smith,Mono-Green Landfall,418
Nigel Stikker,Izzet Spellementals,419
guislaindumont,Azorius Prison,420
Elyacht,Izzet Prowess,421
Tomáš Krupička,Selesnya Landfall,422
FerruccioMicheli,Selesnya Landfall,423
Luka Fuchs,Mono-Blue Tempo,424
JackNewell,Boros Discard,425
Leaham,Selesnya Landfall,426
dietcruella,Dimir Excruciator,427
Corrlight,Azorius Prison,428
David Woodland,Izzet Spellementals,429
Storm Losell,Selesnya Landfall,430
Stefano Belloni,Izzet Prowess,431
EtherealBlue,Izzet Spellementals,432
RomainAlexandre,Izzet Spellementals,433
LuigiC,Golgari Demons,434
Lilian Lescure,Dimir Excruciator,435
jruxc,Dimir Excruciator,436
Jay_Flimmzky,Dimir Mill,437
Brian Rasmussen,Dimir Excruciator,438
Xcunonophus,Azorius Artifacts,439
197564,Azorius Prison,440
Noah Anderson Weiskircher,Izzet Lessons,441
Peppo0212,Izzet Lessons,442
Vincent Pernel,Dimir Artifacts,443
Andrei M,Izzet Prowess,444
Felix Wieland,Sultai Midrange,445
MasterDPW,Four-Color Control,446
Gwendolyn Noble,Bant Rhythm,447
Robin Clark,Sultai Reanimator,448
Björn Kimminich,Izzet Prowess,449
ShababC,Simic Rhythm,450
Francesco Vitiello,Selesnya Landfall,451
Goblingrenade,Azorius Momo,452
THErev23,Azorius Momo,453
DavidGrant,Selesnya Ouroboroid,454
Crowtaur,Izzet Prowess,455
Dom,Azorius Momo,456
Lucas Jensen,Jeskai Control,457
Rory McKay,Azorius Momo,458
art3mique,Izzet Lessons,459
Rasmus Nilsson,Selesnya Landfall,460
Jadrzwi,Izzet Lessons,461
Jakub Pardubsky,Bant Rhythm,462
Matteo Silvestri,Four-Color Elementals,463
Riccardo Bragato,Selesnya Rhythm,464
Pebus101,Bant Rhythm,465
Bratwurst,Selesnya Landfall,466
Sergio Seoane,Selesnya Landfall,467
jlc93,Selesnya Rabbits,468
Yannick29000,Izzet Prowess,469
Aras Şenyüz,Izzet Prowess,470
jwhiley93,Orzhov Sacrifice,471
Jack Goldsworthy,Izzet Prowess,472
Dan Robinson,Boros Dragons,473
Hiltinchest,Izzet Prowess,474
TGalla,Azorius Merfolk,475
ANNAVALILA,Izzet Prowess,476
Sytse,Sultai Control,477
Pascal van Alphen,Izzet Prowess,478
IanB3,Izzet Spellementals,479
Martin Richardson,Azorius Control,480
louisfrith,Azorius Prison,481
Zurgo128,Izzet Lessons,482
Grimbakor,Dimir Monument,483
Zijun Wang,Temur Harmonizer,484
Alexander Gordon-Brown,Sultai Control,485
SquirrelSovereign,Izzet Prowess,486
Hal8999,Izzet Lessons,487
DarioCavallone,Bant Rhythm,488
AndyHenwood,Mono-Green Landfall,489
alshay2020,Izzet Prowess,490
Thoralf Severin,Selesnya Landfall,491
EriS28,Izzet Prowess,492
CalMc,Izzet Lessons,493
Sindre Mortensen,Selesnya Rhythm,494
Giuseppe Miele,Izzet Lessons,495
ophoox,Boros Dragons,496
Jonathan Lee,Izzet Lessons,497
Adam Davis,Izzet Lessons,498
Aidan Currah,Selesnya Landfall,499
RamC1,Izzet Lessons,500
AustinMi,Izzet Prowess,501
Splitseven,Izzet Lessons,502
manyrollies,Izzet Spellementals,503
SkottCooper,Azorius Prison,504
Tim Paplewski,Dimir Excruciator,505
Misty Manek,Azorius Prison,506
AlexG1995,Mono-Green Landfall,507
DoubleDavey,Selesnya Landfall,508
Chris Grenville,Izzet Prowess,509
Robert Wiseman,Izzet Prowess,510
Seal100,Dimir Bounce,511
Sam Milner,Izzet Prowess,512
pamkung,Bant Rhythm,513
Jonny 🐘 Edmondson,Izzet Prowess,514
Henry Cooke,Izzet Prowess,515
Fraser Dallachy,Abzan Cosmogoyf,516
superaggo,Four-Color Elementals,517
Gustavo Colon,Four-Color Control,518
Yiannis Kyriazis,Four-Color Control,519
Dan McCarthy,Azorius Prison,520
Keanjoy,Izzet Prowess,521
Marie Kirkkola,Selesnya Landfall,522
Hans Ludvig Skovli,Izzet Prowess,523
Michael Rutter,Izzet Spellementals,524
Aeryn McCann,Izzet Lessons,525
SrKaronte,Azorius Artifacts,526
Vince Geluk,Jeskai Control,527
addypalooza,Golgari Crimes,528
ollei,Izzet Prowess,529
Scute,Dimir Excruciator,530
MaruMtg,Izzet Prowess,531
Alexander Mehta,Izzet Prowess,532
vixmac22,Izzet Spellementals,533
StrongEUW,Gruul Harmonizer,534
Simon Leigh,Izzet Spellementals,535
Shadow_helm,Azorius Artifacts,536
wailingpath,Orzhov Lifegain,537
Claes de Graaff,Izzet Prowess,538
Diego Alcalde,Azorius Prison,539
CoreyPeel,Jeskai Control,540
Gabriele1991,Selesnya Landfall,541
SayNuthinTillYaSeeClaude,Jeskai Control,542
Antoine Bernier,Izzet Lessons,543
tsz shing so,Mono-Red Aggro,544
JoaoCorvina,Selesnya Landfall,545
Devis Rossini,Bant Rhythm,546
Daniel Aranyi,Izzet Spellementals,547
Alex Day,Gruul Leyline,548
Leif Schöniger,Selesnya Landfall,549
LuiC2,Azorius Artifacts,550
Drew Martin,Izzet Prowess,551
Mattia_Pantiri,Izzet Opus,552
Phillip Scutter-Cairns,Jeskai Control,553
kristofff,Dimir Excruciator,554
HowlingFjord,Golgari Demons,555
treefr0gg,Mono-Green Landfall,556
Krzysztof Drzewiecki,Azorius Repartee,557
ReiLiv,Izzet Prowess,558
KnuxIBF,Five-Color Control,559
StuBoi3,Dimir Midrange,560
CelestinBARRE,Golgari Skeletons,561
Luke Doyle,Izzet Prowess,562
Alice Casey,Izzet Spellementals,563
Cwlvyn,Selesnya Landfall,564
Ode2TheMets,Mono-Green Landfall,565
Kyle Brennan,Azorius Prison,566
plantgirl,Mono-Blue Spellementals,567
John Kai Sang Ng,Dimir Excruciator,568
Syyslehti,Izzet Spellementals,569
Metadontmatter,Jeskai Control,570
Oliver Frith,Simic Omniscience,571
Alexandre Furstenberger,Bant Rhythm,572
Derek Choi,Dimir Excruciator,573
JJ Hidson,Mono-Green Chocobo,574
MatthewKubisa,Mono-Red Firebending,575
rtsolo,Mardu Mobilize,576
Careknight,Azorius Prison,577
L-E-D,Mono-White Momo,578
Jason Handy,Dimir Deceit,579
Overgrime,Dimir Midrange,580
Shin33,Dimir Excruciator,581
Aaron Tavaler,Izzet Prowess,582
Svenja Hill,Mono-Red Aggro,583
Marincas Victor,Grixis Deceit,584
Anjo Brand,Selesnya Landfall,585
bugthefriend,Dimir Midrange,586
Tan-Tai Nguyen,Four-Color Control,587
Martin Zimmermann,Selesnya Ouroboroid,588
Vincenzo Manzari,Izzet Prowess,589
Sillylio,Temur Stormsplitter,590
Foreverloney,Mono-Green Landfall,591
wuxxd,Mono-Green Landfall,592
Max Blümel,Izzet Prowess,593
Angra,Mono-White Enchantments,594
SilK1,Izzet Prowess,595
jdwzf,Izzet Spellementals,596
Luca Fessia,Selesnya Landfall,597
Kowalski125,Allies,598
Barnaby Mannox,Dimir Excruciator,599
MickMadsen,Izzet Spellementals,600
Barry Horwood,Azorius Pixie,601
jbailey46,Azorius Prison,602
TomM27,Dimir Midrange,603
SimonMercer,Mono-White Enchantments,604
Andrew Jaquith,Izzet Lessons,605
