Player,Deck,Rank
Koen de Vos,Azorius Momo,1
StannersPOTUS,Mardu Discard,2
Enchanted,Temur Omniscience,3
Louis Wilder,Izzet Prowess,4
Nathan Goldberg,Selesnya Rhythm,5
AlexMacIsaac,Izzet Fling,6
Yanatoy,Izzet Opus,7
Will Berrington,Mono-Green Landfall,8
Yann-Guillaume Jaccard,Allies,9
tip,Selesnya Ouroboroid,10
Lucca LiPuma,Izzet Prowess,11
Brad Barclay,Four-Color Control,12
DarkDeno,Selesnya Landfall,13
Dan Rose,Izzet Lessons,14
Piotr Głogowski,Izzet Lessons,15
Maxime Desiront,Sultai Reanimator,16
Nathan McDowell,Izzet Prowess,17
TheRiedl,Izzet Lessons,18
fabse,Izzet Prowess,19
Franco Cicchini,Izzet Prowess,20
Juan Godoy,Four-Color Elementals,21
Sean Goddard,Selesnya Ouroboroid,22
woebringer,Izzet Prowess,23
gwendalvador,Selesnya Landfall,24
Andreas Nordahl,Izzet Lessons,25
Maciej Barwik,Izzet Prowess,26
Jack Young,Izzet Spellementals,27
Matthieu Tassa,Izzet Prowess,28
Callum Laird,Izzet Prowess,29
Victor Simon Wilhelm Lumholtz,Selesnya Ouroboroid,30
Jamie Walsh,Four-Color Control,31
ClaudioBisioo,Four-Color Control,32
Pirrakos,Dimir Excruciator,33
Jędrek Szmyd,Izzet Lessons,34
Charles Rivet,Izzet Prowess,35
Tommi Erola,Mono-Green Landfall,36
Marco Capitanio,Izzet Lessons,37
Bilbo_Baggins,Izzet Prowess,38
TomaszDudziec,Izzet Prowess,39
Titouan LE BERRE,Izzet Prowess,40
Oscar Christensen,Selesnya Ouroboroid,41
Vincent Reiter,Izzet Prowess,42
Valentin Orru,Izzet Prowess,43
Martin Ramos,Mono-White Momo,44
Christian Kerr,Selesnya Landfall,45
Daniele Vinciguerra,Dimir Excruciator,46
Kim Homsma,Selesnya Landfall,47
Alexey Paulot,Temur Lessons,48
Ben Jones,Izzet Lessons,49
George Worsnop,Izzet Prowess,50
Alvaro Nicosia,Izzet Prowess,51
Marcio Carvalho,Selesnya Landfall,52
Alvaro Fernandez Torres,Izzet Prowess,53
Verena Maccari,Izzet Prowess,54
DanS106,Izzet Spellementals,55
Petr96,Four-Color Control,56
Michael Baalham,Selesnya Landfall,57
Noah Bacine,Jeskai Control,58
Stefano Spurio,Four-Color Elementals,59
Francesco Latorre,Izzet Prowess,60
T0bb3,Izzet Prowess,61
Landstar,Selesnya Ouroboroid,62
Rodney Bedell,Selesnya Landfall,63
Jonas_Erbe,Simic Rhythm,64
Giulio Tommaso Gomitoni,Izzet Lessons,65
Gerardo D'Elia,Jeskai Control,66
Stanislau Zubovich,Izzet Prowess,67
Marian Bunganic,Izzet Lessons,68
felipins,Dimir Excruciator,69
Etienne Foare,Izzet Lessons,70
Rookiemookie,Jeskai Control,71
MikeRoss,Izzet Lessons,72
Léo Guimard,Selesnya Landfall,73
Charles Eliatamby,Bant Rhythm,74
HoneycombH,Selesnya Landfall,75
Jonah Strommenger,Izzet Prowess,76
Ethanv83,Selesnya Landfall,77
Tobia Daniele Nappi,Four-Color Control,78
