Round,Table,Players,Decks,Winner
Round 1,-,Yat Ka Leung He/Him,Izzet Prowess,Yat Ka Leung was awarded a bye
Round 1,1,"Pierre Liebsch He/Him
jruxc","Temur Harmonizer
Dimir Excruciator",Pierre Liebsch won 2-0-0
Round 1,2,"Rodney Bedell
Jacob1200 He/Him","Selesnya Landfall
Azorius Otters",Jacob1200 won 2-1-0
Round 1,3,"Jacob Borrowdale He/Him
Louis-Samuel Deltour","Izzet Prowess
Izzet Prowess",Louis-Samuel Deltour won 2-0-0
Round 1,4,"Franco Cicchini He/Him
Luke Merryweather He/Him","Izzet Prowess
Izzet Lessons",Luke Merryweather won 2-0-0
Round 1,5,"George Worsnop He/Him
Alexander Gordon-Brown He/Him","Izzet Prowess
Sultai Control",George Worsnop won 2-0-0
Round 1,6,"Francesco Ghelli He/Him
Careknight He/Him","Selesnya Ouroboroid
Azorius Prison",Francesco Ghelli won 2-0-0
Round 1,7,"Sandiagos He/Him
Branoc Richards He/Him","Abzan Midrange
Izzet Prowess",Sandiagos won 2-0-0
Round 1,8,"ItMakesSens He/Him
THErev23 He/Him","Selesnya Landfall
Azorius Momo",ItMakesSens won 2-0-0
Round 1,9,"Fabian Jonckeer He/Him
Christian Mayr He/Him","Mono-Green Landfall
Four-Color Elementals",Christian Mayr won 2-1-0
Round 1,10,"SkottCooper He/Him
Ignacio Garcia He/Him","Azorius Prison
Azorius Momo",Ignacio Garcia won 2-0-0
Round 1,11,"IanB3 He/Him
Sytse He/Him","Izzet Spellementals
Sultai Control",Sytse won 2-0-0
Round 1,12,"LinkangYang He/Him
rtsolo She/They","Izzet Lessons
Mardu Mobilize",LinkangYang won 2-0-0
Round 1,13,"Martin Forrester He/They
EtherealBlue She/Her","Sultai Reanimator
Izzet Spellementals",Martin Forrester won 2-0-0
Round 1,14,"Martin Ramos He/Him
Graveturner He/Him","Mono-White Momo
Izzet Lessons",Martin Ramos won 2-0-0
Round 1,15,"AlexMacIsaac He/Him
alshay2020 He/Him","Izzet Prowess
Izzet Prowess",AlexMacIsaac won 2-1-0
Round 1,16,"Russell Seeley He/Him
KeesvanMontfoort","Golgari Midrange
Izzet Prowess",Russell Seeley won 2-1-0
Round 1,17,"Kyle Brennan He/Him
jbailey46 He/Him","Azorius Prison
Azorius Flash",Kyle Brennan won 2-0-0
Round 1,18,"Sandro1811 He/Him
jamestimms He/They","Dimir Bounce
Azorius Prison",jamestimms won 2-1-0
Round 1,19,"Xifan He/Him
WompRat He/Him","Izzet Prowess
Boros Mobilize",WompRat won 2-0-0
Round 1,20,"Gary Smith He/Him
Jacob Hauch","Jeskai Control
Azorius Prison",Gary Smith won 2-0-0
Round 1,21,"Mikki Klokkedal He/Him
Inherentmac He/Him","Selesnya Landfall
Grixis Discard",Inherentmac won 2-1-0
Round 1,22,"Rookiemookie He/Him
Tudor Marin He/Him","Jeskai Control
Selesnya Ouroboroid",Rookiemookie won 2-0-0
Round 1,23,"Tom8520 He/Him
NicolasM He/Him","Bant Rhythm
Four-Color Control",NicolasM won 2-0-0
Round 1,24,"Vincenzo Manzari She/Her
Lewis Foster He/Him","Izzet Prowess
Selesnya Landfall",Lewis Foster won 2-0-0
Round 1,25,"Francesco Vitiello He/Him
Fraser Dallachy He/Him","Selesnya Landfall
Abzan Cosmogoyf",Francesco Vitiello won 2-0-0
Round 1,26,"Harry Burke He/Him
mundisv He/Him","Azorius Momo
Izzet Prowess",Harry Burke won 2-1-0
Round 1,27,"Patrickleydecker He/Him
tsz shing so He/Him","Izzet Spellementals
Mono-Red Aggro",Patrickleydecker won 2-1-0
Round 1,28,"Niels Wardenier He/Him
JackTheJester He/Him","Azorius Prison
Four-Color Control",JackTheJester won 2-0-0
Round 1,29,"pileshuffle
DThomps He/Him","Four-Color Elementals
Izzet Prowess",pileshuffle won 2-1-0
Round 1,30,"JoaoM He/Him
Etienne Foare He/Him","Izzet Prowess
Izzet Lessons",Etienne Foare won 2-1-0
Round 1,31,"TomaszDudziec He/Him
Krzysztof Drzewiecki He/Him","Izzet Prowess
Azorius",TomaszDudziec won 2-0-0
Round 1,32,"Johnathan Wilkes He/Him
Tien Thanh Pham He/Him","Golgari Midrange
Azorius Prison",Tien Thanh Pham won 2-0-0
Round 1,33,"Zaraffyro
Ondrej Strasky He/Him","Izzet Prowess
Izzet Lessons",Zaraffyro won 2-1-0
Round 1,34,"Brad Barclay He/Him
Jonah Strommenger He/Him","Four-Color Control
Izzet Prowess",Brad Barclay won 2-1-0
Round 1,35,"Duskfire He/Him
Liam Tiller-Collins He/Him","Selesnya Landfall
Selesnya Midrange",Liam Tiller-Collins won 2-1-0
Round 1,36,"Brian Rasmussen He/Him
Pier Paolo Moro They/Them","Dimir Excruciator
Izzet Prowess",Pier Paolo Moro won 2-0-0
Round 1,37,"Dorian Wiese He/Him
Robert Wiseman","Golgari Midrange
Izzet Prowess",Dorian Wiese won 2-1-0
Round 1,38,"Metadontmatter He/Him
Vittorio Viti","Jeskai Control
Four-Color Control",Vittorio Viti won 2-0-0
Round 1,39,"HarryHollingworth He/They
Daniel Larsen He/Him","Bant Rhythm
Selesnya Landfall",HarryHollingworth won 2-0-0
Round 1,40,"Adam Davis He/Him
Petr96 He/Him","Izzet Lessons
W-U-B-R Control",Petr96 won 2-1-0
Round 1,41,"Nigel Stikker He/Him
StrongEUW He/Him","Izzet Spellementals
Gruul Harmonizer",StrongEUW won 2-1-0
Round 1,42,"DarkDeno
Kim Homsma He/Him","Selesnya Landfall
Selesnya Landfall",DarkDeno won 2-1-0
Round 1,43,"Mae French She/Her
oldemodave He/Him","Izzet Lessons
Dimir Deceit",Mae French won 2-0-0
Round 1,44,"Guliver He/Him
Simon Leigh","Selesnya Landfall
Izzet Spellementals",Guliver won 2-0-0
Round 1,45,"David Woodland He/Him
Daniel Bjerkan He/Him","Izzet Spellementals
Selesnya Landfall",Daniel Bjerkan won 2-1-0
Round 1,46,"Hans Ludvig Skovli He/Him
Christian Kerr He/Him","Izzet Prowess
Selesnya Landfall",Christian Kerr won 2-1-0
Round 1,47,"Charlie Kennett He/Him
Emelia St John She/They","Dimir Excruciator
Izzet Spellementals",Charlie Kennett won 2-0-0
Round 1,48,"StuBoi3
Daniel Lind He/Him","Dimir Aggro
Selesnya Landfall",Daniel Lind won 2-1-0
Round 1,49,"Jasper Nielsen He/Him
Svenja Hill She/Her","Izzet Spellementals
Mono-Red Aggro",Jasper Nielsen won 2-1-0
Round 1,50,"Cartheron Other
RyaS","Mono-Black Demons
Naya Yuna",Cartheron won 2-0-0
Round 1,51,"Hiltinchest He/They
Douglas Penman He/Him","Izzet Prowess
Selesnya Ouroboroid",Douglas Penman won 2-0-0
Round 1,52,"JackNewell He/Him
Xcunonophus He/They","Boros Discard
Azorius Artifacts",JackNewell won 2-1-0
Round 1,53,"Jan Pruchniewicz He/Him
Hal8999 He/Him","Simic Omniscience
Izzet Monument",Jan Pruchniewicz won 2-0-0
Round 1,54,"Alex Göbel He/Him
Olivier Geffroy He/Him","Dimir Midrange
Izzet Prowess",Alex Göbel won 2-0-0
Round 1,55,"Jędrek Szmyd He/Him
Conrad Scherb","Izzet Lessons
Jeskai Control",Conrad Scherb won 2-0-0
Round 1,56,"Dominic Ulke He/Him
Scute He/Him","Izzet Prowess
Dimir Excruciator",Dominic Ulke won 2-0-0
Round 1,57,"Jonny 🐘 Edmondson He/Him
Phillip Scutter-Cairns He/Him","Izzet Prowess
Jeskai Control",Phillip Scutter-Cairns won 2-0-0
Round 1,58,"JoshuaPyleCarter Other
197564 He/Him","Simic Omniscience
Azorius Tempo",197564 won 2-0-0
Round 1,59,"Gwen Wall She/Her
Noz777 He/Him","Azorius Tempo
Izzet Spellementals",Gwen Wall won 2-0-0
Round 1,60,"WillKillsTime He/Him
Piotr Głogowski He/Him","Izzet Prowess
Izzet Lessons",Piotr Głogowski won 2-0-0
Round 1,61,"Brady Crooks He/Him
Coulsy He/Him","Izzet Lessons
Azorius Artifacts",Coulsy won 2-0-0
Round 1,62,"Syyslehti He/Him
Leif Schöniger He/Him","Izzet Spellementals
Selesnya Landfall",Leif Schöniger won 2-0-0
Round 1,63,"Chris Grenville He/Him
Dafta He/Him","Izzet Prowess
Mono-Green",Chris Grenville won 2-1-0
Round 1,64,"Giulio Tommaso Gomitoni
SrKaronte He/Him","Izzet Lessons
Azorius Artifacts",SrKaronte won 2-0-0
Round 1,65,"Geri925 He/Him
AustinMi He/They","Selesnya Ouroboroid
Izzet Prowess",Geri925 won 2-0-0
Round 1,66,"Jadrzwi He/Him
DoubleDavey He/Him","Izzet Lessons
Selesnya Landfall",Jadrzwi won 2-1-0
Round 1,67,"Marco Oliveto He/Him
Riccardo Bragato He/Him","Golgari Rhythm
Selesnya Rhythm",Marco Oliveto won 2-1-0
Round 1,68,"art3mique
christian gullberg He/Him","Izzet Lessons
Izzet Spellementals",christian gullberg won 2-0-0
Round 1,69,"RyanNorthcott He/Him
Thomas Walder","Boros Momo
Mardu Artifacts",Thomas Walder won 2-0-0
Round 1,70,"Cwlvyn He/Him
Valentin Orru He/Him","Selesnya Landfall
Izzet Prowess",Valentin Orru won 2-0-0
Round 1,71,"Oscar Christensen He/Him
Max Spencer He/Him","Selesnya Ouroboroid
Golgari Changelings",Oscar Christensen won 2-0-0
Round 1,72,"Max Staas He/Him
StannersPOTUS","Dimir Excruciator
Mardu",StannersPOTUS won 2-0-0
Round 1,73,"Adam Jansson He/Him
Daniele Vinciguerra He/Him","Izzet Prowess
Dimir Otters",Daniele Vinciguerra won 2-0-0
Round 1,74,"Marco Vay He/Him
Alex Campbell","Dimir Excruciator
Jeskai Control",Alex Campbell won 2-0-0
Round 1,75,"Edgar Baumler He/Him
TomR","Bant Rhythm
Izzet Prowess",Edgar Baumler won 2-1-0
Round 1,76,"Rasmus Nilsson He/Him
SilK1 He/Him","Selesnya
Izzet Prowess",Rasmus Nilsson won 2-1-0
Round 1,77,"Draysor He/Him
Anjo Brand He/Him","Selesnya Landfall
Selesnya Landfall",Draysor won 2-0-0
Round 1,78,"no_justice_mtg She/Her
Mehdi Khelfa He/Him","Four-Color Control
Izzet Prowess",Mehdi Khelfa won 2-1-0
Round 1,79,"Jay_Flimmzky He/Him
Noah Bacine He/Him","Dimir Mill
Jeskai Control",Noah Bacine won 2-1-0
Round 1,80,"MaruMtg He/Him
Stanislau Zubovich He/Him","Izzet Prowess
Izzet Prowess",Stanislau Zubovich won 2-1-0
Round 1,81,"Victor Manuel Graveto
Christian Richard He/Him","Azorius Prison
Temur Harmonizer",Victor Manuel Graveto won 2-0-0
Round 1,82,"Jack Buckland
swxgv He/Him","Selesnya Aggro
Izzet Prowess",swxgv won 2-0-0
Round 1,83,"Jacob Vogts He/Him
Kristoffer Roland He/Him","Izzet Lessons
Gruul Leyline",Kristoffer Roland won 2-1-0
Round 1,84,"Julian Riedener He/Him
CalMc","Bant Rhythm
Izzet Lessons",Julian Riedener won 2-1-0
Round 1,85,"Drew Martin He/Him
Marco Capitanio","Izzet Prowess
Izzet Lessons",Marco Capitanio won 2-1-0
Round 1,86,"Grimbakor He/They
Josh Corless He/Him","Dimir Monument
Izzet Spellementals",Josh Corless won 2-0-0
Round 1,87,"manyrollies
Badmaths222 He/Him","Izzet Spellementals
Four-Color Elementals",manyrollies won 2-1-0
Round 1,88,"bugthefriend She/Her
Gerardo D'Elia He/Him","Dimir Midrange
Jeskai Control",Gerardo D'Elia won 2-0-0
Round 1,89,"Dan Stokes He/Him
Marian Bunganic He/Him","Four-Color Control
Izzet Lessons",Marian Bunganic won 2-0-0
Round 1,90,"Kristoffer Payumo He/Him
Angra He/Him","Four-Color Elementals
Mono-White Enchantments",Kristoffer Payumo won 2-0-0
Round 1,91,"Tim Paplewski He/Him
dietcruella She/Her","Dimir Excruciator
Dimir Excruciator",Tim Paplewski won 2-0-0
Round 1,92,"Tan-Tai Nguyen He/Him
shaneoc He/Him","Four-Color Control
Izzet Prowess",shaneoc won 2-1-0
Round 1,93,"Salvatore Cardali
L-E-D He/They","Azorius Prison
Mono-White Momo",1-1-0 Draw
Round 1,94,"Misty Manek She/Her
Noah Anderson Weiskircher They/Them","Azorius Prison
Izzet",1-1-0 Draw
Round 1,95,"Alvaro Nicosia He/Him
Björn Kimminich He/Him","Izzet Prowess
Izzet Prowess",Björn Kimminich won 2-1-0
Round 1,96,"Michael Baalham
Kevin Broløs He/Him","Selesnya Landfall
Izzet Prowess",Michael Baalham won 2-0-0
Round 1,97,"HarW7
Corrlight He/Him","Four-Color Control
Azorius Prison",HarW7 won 2-0-0
Round 1,98,"pizzangry He/Him
KnuxIBF He/Him","Izzet Prowess
Five-Color Control",pizzangry won 2-0-0
Round 1,99,"Vince Geluk He/Him
gwendalvador He/Him","Jeskai Control
Selesnya Landfall",gwendalvador won 2-1-0
Round 1,100,"CJ Vice He/Him
Daniel Lewis He/Him","Esper Oculus
Four-Color Control",Daniel Lewis won 2-0-0
Round 1,101,"Vincent Reiter He/Him
Skite He/They","Izzet Prowess
Selesnya Landfall",Vincent Reiter won 2-1-0
Round 1,102,"ZakP He/Him
guislaindumont","Mono-Green Landfall
Azorius Prison",ZakP won 2-1-0
Round 1,103,"Marcio Carvalho
soufian hriz He/Him","Selesnya Landfall
Izzet Spellementals",Marcio Carvalho won 2-0-0
Round 1,104,"Léo Thiémard He/Him
Adrien Beaussart He/Him","Bant Rhythm
Four-Color Elementals",Léo Thiémard won 2-1-0
Round 1,105,"kristofff He/Him
Yannick29000 He/Him","Dimir Excruciator
Izzet Prowess",kristofff won 2-0-0
Round 1,106,"ReiLiv She/They
Jari Rentsch He/Him","Izzet Prowess
Izzet Prowess",Jari Rentsch won 2-1-0
Round 1,107,"Nathan McDowell He/Him
Gabriele1991 He/Him","Izzet Prowess
Selesnya Landfall",Nathan McDowell won 2-0-0
Round 1,108,"Sillylio He/Him
Daniel Aranyi He/Him","Temur Stormsplitter
Izzet Spellementals",Daniel Aranyi won 2-0-0
Round 1,109,"Andrew Berry
Will Berrington He/Him","Izzet Spellementals
Mono-Green Landfall",Andrew Berry won 2-0-0
Round 1,110,"Leaham He/Him
gabriele tribulato Ze/zir","Selesnya Landfall
Bant Rhythm",Leaham won 2-0-0
Round 1,111,"James Ball He/Him
tip He/Him","Izzet Prowess
Selesnya Ouroboroid",tip won 2-0-0
Round 1,112,"jjjimbo They/Them
Manuel Nowak He/Him","Izzet
Selesnya Rhythm",Manuel Nowak won 2-0-0
Round 1,113,"Daniele Scatassi
AdamPC He/Him","Izzet Prowess
Izzet Prowess",AdamPC won 2-1-0
Round 1,114,"Aidan Currah
Andreas Foreman Jensen He/Him","Selesnya Landfall
Selesnya Ouroboroid",Aidan Currah won 2-1-0
Round 1,115,"milesofford He/Him
Wojciech Kowalczuk He/Him","Sultai Reanimator
Selesnya Landfall",milesofford won 2-0-0
Round 1,116,"Fabian Klein
Aras Şenyüz He/Him","Dimir Excruciator
Temur",Fabian Klein won 2-0-0
Round 1,117,"CelestinBARRE He/Him
filpin He/Him","Golgari Skeletons
Selesnya Ouroboroid",filpin won 2-0-0
Round 1,118,"Geko
Shadow_helm He/Him","Izzet Aggro
Azorius Artifacts",Geko won 2-0-0
Round 1,119,"AlexRoebuck He/Him
Luka Fuchs","Izzet Prowess
Mono-Blue Tempo",AlexRoebuck won 2-0-0
Round 1,120,"Zak Cowen
GiorgioCanezin He/Him","Izzet Prowess
Azorius Prison",GiorgioCanezin won 2-0-0
Round 1,121,"Robert Pennington
Titouan LE BERRE He/Him","Simic Omniscience
Izzet Prowess",Titouan LE BERRE won 2-1-0
Round 1,122,"Landstar He/They
Maciej Olczak He/Him","Selesnya Ouroboroid
Selesnya Landfall",Landstar won 2-1-0
Round 1,123,"Roberto Fabiani
Dawid Florczyk","Grixis Deceit
Izzet Lessons",Dawid Florczyk won 2-1-0
Round 1,124,"HarryPendall
Lucas Hyttel He/Him","Izzet Lessons
Mono-Green Landfall",Lucas Hyttel won 2-1-0
Round 1,125,"jundazhang He/Him
Bryant Yang He/Him","Izzet Prowess
Izzet Prowess",jundazhang won 2-0-0
Round 1,126,"Gargaroth He/Him
Oliver Frith He/Him","Simic Ouroboroid
Simic Omniscience",Gargaroth won 2-0-0
Round 1,127,"Dan Robinson
LuigiC He/Him","Boros Dragons
Golgari Demons",Dan Robinson won 2-0-0
Round 1,128,"Horia Vernescu He/Him
EdGlease He/Him","Selesnya Ouroboroid
Izzet Aggro",Horia Vernescu won 2-1-0
Round 1,129,"Michael Boardman He/Him
Orry He/Him","Mono-Red Aggro
Izzet Spellementals",Michael Boardman won 2-1-0
Round 1,130,"Splitseven He/Him
Philip White He/They","Izzet Lessons
Izzet Prowess",Philip White won 2-0-0
Round 1,131,"Alexander Stehno
ANNAVALILA He/Him","Jeskai Control
Izzet Prowess",ANNAVALILA won 2-1-0
Round 1,132,"vixmac22 She/Her
Andrew Jaquith He/Him","Izzet Spellementals
Izzet Lessons",vixmac22 won 2-0-0
Round 1,133,"Filipe Gusmão He/Him
seany He/Him","Golgari Demons
Izzet Lessons",Filipe Gusmão won 2-0-0
Round 1,134,"Tadhg Murphy
Matthieu Tassa He/Him","Izzet Prowess
Izzet Prowess",Matthieu Tassa won 2-0-0
Round 1,135,"karim mzoughi
Kieran Malloy He/Him","Grixis
Izzet Prowess",karim mzoughi won 2-1-0
Round 1,136,"JoaoCorvina Other
Alex Winter","Selesnya Landfall
Boros Mobilize",Alex Winter won 2-1-0
Round 1,137,"Thoralf Severin He/Him
Nomae He/Him","Selesnya Landfall
Selesnya Ouroboroid",Nomae won 2-1-0
Round 1,138,"Tobia Daniele Nappi He/Him
DavidGrant","Four-Color Control
Selesnya Midrange",Tobia Daniele Nappi won 2-0-0
Round 1,139,"TGalla
AnilDG He/Him","Azorius Merfolk
Azorius Prison",AnilDG won 2-0-0
Round 1,140,"Matt MT He/Him
Jamie Walsh He/Him","Sultai Reanimator
Four-Color Control",Jamie Walsh won 2-0-0
Round 1,141,"David Dunitza He/Him
Alice Casey She/Her","Izzet Spellementals
Izzet Spellementals",David Dunitza won 2-1-0
Round 1,142,"Lucas Jensen He/They
fabse He/Him","Jeskai Control
Izzet Prowess",fabse won 2-1-0
Round 1,143,"MikeRoss He/They
superaggo He/Him","Izzet Lessons
Four-Color Elementals",superaggo won 2-0-0
Round 1,144,"Francesco Latorre He/Him
Nick Rogiers He/Him","Izzet Prowess
Dimir Excruciator",Nick Rogiers won 2-1-0
Round 1,145,"Mangara He/Him
Pedro Magalhães He/Him","Azorius Flash
Boros Dragons",Pedro Magalhães won 2-0-0
Round 1,146,"Lubos Leskovjansky He/They
NilHomar","Mono-White Momo
Golgari Midrange",Lubos Leskovjansky won 2-0-0
Round 1,147,"Victor Simon Wilhelm Lumholtz He/Him
Barnaby Mannox","Selesnya Ouroboroid
Dimir",Victor Simon Wilhelm Lumholtz won 2-1-0
Round 1,148,"Teemu Alanko He/Him
Enchanted He/Him","Mono-White Momo
Temur Omniscience",Enchanted won 2-1-0
