Round,Table,Players,Decks,Winner
Round 1,149,"Jack Goldsworthy He/Him
Julian Lamprecht He/Him","Izzet Prowess
Selesnya Landfall",Julian Lamprecht won 2-1-0
Round 1,150,"Jonathan Lee
Filip Tetera He/Him","Izzet Lessons
Bant Rhythm",Jonathan Lee won 2-0-0
Round 1,151,"Peppo0212 They/Them
Harry_Ersky He/Him","Izzet Lessons
Izzet Lessons",Peppo0212 won 2-0-0
Round 1,152,"Giuseppe Miele He/Him
Christian Rothen He/Him","Izzet Lessons
Jeskai Control",Christian Rothen won 2-0-0
Round 1,153,"Yanatoy
ViolentRich He/Him","Izzet Opus
Izzet Prowess",Yanatoy won 2-1-0
Round 1,154,"MasterDPW
Bolutin He/They","Four-Color Control
Dimir Midrange",Bolutin won 2-0-0
Round 1,155,"Lukas Paugsch
EvanColly He/Him","Dimir Excruciator
Izzet Prowess",EvanColly won 2-0-0
Round 1,156,"Antoine Bernier He/Him
MatthewKubisa He/Him","Izzet Lessons
Mono-Red Firebending",Antoine Bernier won 2-1-0
Round 1,157,"felipins He/Him
Tifenn Samyn She/Her","Dimir Excruciator
Izzet Spellementals",felipins won 2-0-0
Round 1,158,"Tim Priwe He/Him
Gustavo Colon He/Him","Izzet Prowess
Four-Color Control",Gustavo Colon won 2-1-0
Round 1,159,"Lena Marchant She/Her
Sören Liesener He/Him","Izzet Lessons
Selesnya Ouroboroid",Sören Liesener won 2-0-0
Round 1,160,"Nicolas Prail He/Him
Goblingrenade He/Him","Izzet Prowess
Azorius Momo",Goblingrenade won 2-0-0
Round 1,161,"Paul Bittner He/Him
Jamie Popay He/Him","Azorius Prison
Golgari Midrange",Jamie Popay won 2-0-0
Round 1,162,"Fabien Li He/Him
DanoClark","Boros Mobilize
Four-Color Control",DanoClark won 2-1-0
Round 1,163,"oDwin He/Him
ucoconut871 Other","Orzhov Momo
Temur",oDwin won 2-1-0
Round 1,164,"Manuel Danninger He/Him
Tomáš Krupička He/Him","Izzet Lessons
Selesnya Landfall",Manuel Danninger won 2-1-0
Round 1,165,"Gavin Thacker
Thomas Chenery He/Him","Boros Dragons
Izzet Spellementals",Gavin Thacker won 2-1-0
Round 1,166,"darkblueturbo He/Him
George Stuart He/Him","Izzet Spellementals
Izzet Spellementals",George Stuart won 2-0-0
Round 1,167,"Maxime Desiront He/Him
Kewin Lozicki He/Him","Sultai Reanimator
Azorius Tempo",Maxime Desiront won 2-0-0
Round 1,168,"Jacopo Bartollini He/Him
Lucca LiPuma","Azorius Prison
Izzet Prowess",Lucca LiPuma won 2-1-0
Round 1,169,"CoreyPeel He/Him
EricZhou He/Him","Jeskai Control
Izzet Prowess",EricZhou won 2-0-0
Round 1,170,"Aaron Tavaler He/Him
RobinVahland He/Him","Izzet Prowess
Songcrafter Control",RobinVahland won 2-0-0
Round 1,171,"Michael Rutter He/Him
Aeryn McCann She/They","Izzet Spellementals
Izzet Lessons",Aeryn McCann won 2-1-0
Round 1,172,"RoreosaRory He/Him
Jonas_Erbe","Four-Color Elementals
Simic Rhythm",Jonas_Erbe won 2-1-0
Round 1,173,"Siamon He/Him
Nathan Goldberg He/Him","Selesnya Ouroboroid
Selesnya",Nathan Goldberg won 2-0-0
Round 1,174,"jdwzf He/Him
Ethanv83 He/Him","Izzet Spellementals
Selesnya Landfall",Ethanv83 won 2-0-0
Round 1,175,"Jakub Janáč
Krister Karlsen He/Him","Izzet Prowess
Bant Rhythm",Jakub Janáč won 2-1-0
Round 1,176,"woebringer He/Him
Mirand Shtërbani He/Him","Izzet Prowess
Four-Color Control",woebringer won 2-0-0
Round 1,177,"Nick Arnold He/Him
Jakub Pardubsky He/Him","Dimir Excruciator
Bant Rhythm",Nick Arnold won 2-1-0
Round 1,178,"Andrew Smith He/Him
Chris Mander He/Him","Mono-Green Landfall
Izzet Prowess",Chris Mander won 2-1-0
Round 1,179,"Magnus Jørgensen He/Him
Ben Seck He/Him","Izzet Prowess
Bant Rhythm",Ben Seck won 2-1-0
Round 1,180,"Dom He/Him
enraeh He/Him","Azorius Momo
Sultai Excruciator",Dom won 2-0-0
Round 1,181,"Daniel Johnson He/Him
Jason Handy He/Him","Azorius Prison
Dimir Deceit",1-1-0 Draw
Round 1,182,"Stefano Belloni He/Him
SquirrelSovereign","Izzet Prowess
Izzet Prowess",SquirrelSovereign won 2-1-0
Round 1,183,"MickMadsen He/Him
Storm Losell He/Him","Izzet Spellementals
Selesnya Landfall",Storm Losell won 2-1-0
Round 1,184,"Callum Bousfield
Shadybadger46 He/Him","Izzet Prowess
Mono-Blue Control",Callum Bousfield won 2-0-0
Round 1,185,"Edward Cushion He/Him
Calum Gittins He/Him","Izzet Lessons
Izzet Prowess",Edward Cushion won 2-0-0
Round 1,186,"Josef Zivec He/Him
Mclockin He/Him","Bant Rhythm
Selesnya Ouroboroid",Josef Zivec won 2-0-0
Round 1,187,"ShaC28
TheRiedl He/Him","Mardu Combo
Izzet Lessons",TheRiedl won 2-0-0
Round 1,188,"Tolga Sertbas
ClementLumeau He/They","Mono-Red Aggro
Izzet Prowess",1-1-0 Draw
Round 1,189,"Matteo Silvestri He/Him
EricNewton He/Him","Four-Color Elementals
Jeskai Control",EricNewton won 2-1-0
Round 1,190,"James Jenkins He/Him
Dylan Coates He/Him","Izzet Prowess
Izzet Lessons",Dylan Coates won 2-0-0
Round 1,191,"Dotraki
Lee Medhurst He/Him","Temur Tempo
Grixis Elementals",Dotraki won 2-0-0
Round 1,192,"Philipp Schwaiger
Juan Manuel Lorenzi He/Him","Abzan Bats
Selesnya Landfall",Philipp Schwaiger won 2-1-0
Round 1,193,"Alexandre Furstenberger He/Him
Robert Bailey He/Him","Bant Rhythm
Izzet Aggro",Robert Bailey won 2-1-0
Round 1,194,"Andrei Nikolov
FerruccioMicheli He/Him","Izzet Prowess
Selesnya Landfall",Andrei Nikolov won 2-1-0
Round 1,195,"Dominic White He/Him
Masaya_Hoshino He/Him","Dimir Deceit
Selesnya Landfall",Masaya_Hoshino won 2-1-0
Round 1,196,"Dylan Gregory-Martin He/They
Zurgo128","Izzet Spellementals
Izzet Lessons",Zurgo128 won 2-0-0
Round 1,197,"pamkung She/Her
Morgan Lebrument He/Him","Bant Rhythm
Izzet Prowess",Morgan Lebrument won 2-1-0
Round 1,198,"Cantthinkofanything
louisfrith He/Him","Mono-Green Landfall
Azorius Prison",Cantthinkofanything won 2-0-0
Round 1,199,"MatteoLB He/Him
ShababC He/Him","Four-Color Control
Simic Rhythm",ShababC won 2-0-0
Round 1,200,"Mihaly Varadi He/Him
Dan Rose","Azorius Prison
Izzet Lessons",Dan Rose won 2-1-0
Round 1,201,"Pebus101 He/Him
SimonMercer He/Him","Bant Rhythm
Mono-White Enchantments",Pebus101 won 2-1-0
Round 1,202,"Andy Stephens He/Him
AndyHenwood","Selesnya Landfall
Mono-Green Landfall",Andy Stephens won 2-1-0
Round 1,203,"Callum Laird He/Him
Devis Rossini He/Him","Izzet Prowess
Bant Rhythm",Callum Laird won 2-0-0
Round 1,204,"plantgirl She/Her
Philippe Wirz He/Him","Mono-Blue Spellementals
Azorius Momo",Philippe Wirz won 2-1-0
Round 1,205,"Viktor Hybinette He/Him
Andrew Stevenson He/Him","Golgari Midrange
Jeskai Control",Andrew Stevenson won 2-1-0
Round 1,206,"Charles Eliatamby He/Him
MangoMango She/Her","Bant Rhythm
Jeskai Control",Charles Eliatamby won 2-1-0
Round 1,207,"AndrewHM He/They
Nostromo He/Him","Azorius Control
Izzet Prowess",Nostromo won 2-1-0
Round 1,208,"Pedro Lemos He/Him
Christian Smith He/Him","Selesnya Ouroboroid
Azorius Prison",Pedro Lemos won 2-1-0
Round 1,209,"ophoox He/Him
Luke Doyle He/Him","Boros Dragons
Izzet Prowess",ophoox won 2-1-0
Round 1,210,"Gianluca Boaretto He/Him
MY13Dragonfly They/Them","Izzet Spellementals
Bant Rhythm",Gianluca Boaretto won 2-0-0
Round 1,211,"Jorge Muniz
Alexander Mehta He/Him","Dimir Excruciator
Izzet Prowess",Jorge Muniz won 2-0-0
Round 1,212,"Paul Farnsworth
Neil Deacon He/Him","Dimir Excruciator
Izzet Prowess",Neil Deacon won 2-1-0
Round 1,213,"Andrea Piemonti He/Him
GiuseppeG He/Him","Izzet Lessons
Selesnya Landfall",GiuseppeG won 2-1-0
Round 1,214,"Unkillable13 He/Him
StephenSodusta He/Him","Izzet Prowess
Temur Ferocious",Unkillable13 won 2-1-0
Round 1,215,"Luca Fessia He/Him
Juan Godoy He/Him","Selesnya Combo
Four-Color Elementals",Juan Godoy won 2-0-0
Round 1,216,"Truls Mathisen He/Him
GliedTamas He/Him","Mono-Blue Spellementals
Sultai Control",GliedTamas won 2-0-0
